"filename", "language", "Markdown", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Computec\Desktop\projects\e-commerce\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Computec\Desktop\projects\e-commerce\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Computec\Desktop\projects\e-commerce\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 34, 2, 36
"c:\Users\Computec\Desktop\projects\e-commerce\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Computec\Desktop\projects\e-commerce\package-lock.json", "JSON", 0, 15909, 0, 0, 0, 0, 1, 15910
"c:\Users\Computec\Desktop\projects\e-commerce\package.json", "JSON", 0, 93, 0, 0, 0, 0, 1, 94
"c:\Users\Computec\Desktop\projects\e-commerce\src\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 5, 23
"c:\Users\Computec\Desktop\projects\e-commerce\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\Computec\Desktop\projects\e-commerce\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 94, 0, 7, 101
"c:\Users\Computec\Desktop\projects\e-commerce\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\auth.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 69, 3, 8, 80
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 3, 34
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 208, 0, 46, 254
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\change-passord.dto.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\forgot-password.dto.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\login.dto.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 4, 14
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\refresh-token.dto.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\request.OTP.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\reset-password.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\dtos\signup.dto.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\entities\reset-token-entity.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 4, 16
"c:\Users\Computec\Desktop\projects\e-commerce\src\auth\types\jwt-payload.type.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\cart.controller.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 8, 59
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\cart.module.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\cart.service.ts", "TypeScript", 0, 0, 0, 0, 141, 0, 29, 170
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\dto\item.dto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\dto\update-item.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\entities\cart-item.entity.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 8, 36
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\entities\cart.entity.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 8, 39
"c:\Users\Computec\Desktop\projects\e-commerce\src\cart\enums\cart.status.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\categories.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\categories.controller.ts", "TypeScript", 0, 0, 0, 0, 61, 4, 6, 71
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\categories.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\categories.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\categories.service.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 14, 83
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\dto\create-category.dto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\dto\update-category.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\categories\entities\category.entity.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 8, 39
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary-response.ts", "TypeScript", 0, 0, 0, 0, 2, 1, 2, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary.controller.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary.module.ts", "TypeScript", 0, 0, 0, 0, 10, 1, 2, 13
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary.provide.ts", "TypeScript", 0, 0, 0, 0, 11, 1, 3, 15
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary.service.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\Computec\Desktop\projects\e-commerce\src\config\redis.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Computec\Desktop\projects\e-commerce\src\decorators\current-user.decorator.ts", "TypeScript", 0, 0, 0, 0, 7, 5, 3, 15
"c:\Users\Computec\Desktop\projects\e-commerce\src\decorators\permissions.decorator.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\guards\authentication.guard.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 7, 38
"c:\Users\Computec\Desktop\projects\e-commerce\src\guards\authorization.guard.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 9, 58
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\email.worker.processor.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\mail.module.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 3, 36
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\mail.service.ts", "TypeScript", 0, 0, 0, 0, 95, 1, 8, 104
"c:\Users\Computec\Desktop\projects\e-commerce\src\main.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 10, 34
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\dto\create-order.dto.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\dto\update-order.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\entities\order-item.entity.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 9, 43
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\entities\order.entity.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 11, 51
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\enums\order-status.enum.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
